
Gurobi 10.0.1 (mac64[arm]) logging started Sun Mar 31 09:35:34 2024

Set parameter LogFile to value "/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/RENS/BNB_BSNH_BSAL_BPHD_subMBP_random4_0.9_202403301837.log"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (mac64[arm])

CPU model: Apple M2
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads

Optimize a model with 21339 rows, 8010 columns and 78947 nonzeros
Model fingerprint: 0x15e42aff
Variable types: 2735 continuous, 5275 integer (1117 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e+00, 4e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 5e+02]
Presolve removed 10203 rows and 2837 columns
Presolve time: 2.77s
Presolved: 11136 rows, 5173 columns, 45538 nonzeros
Variable types: 1398 continuous, 3775 integer (3775 binary)

Root relaxation: objective 2.090300e+04, 3170 iterations, 0.04 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 20903.0000    0  223          - 20903.0000      -     -    3s
     0     0 20955.3979    0  632          - 20955.3979      -     -    3s
     0     0 20955.3979    0  585          - 20955.3979      -     -    3s
     0     0 20958.4426    0  702          - 20958.4426      -     -    3s
     0     0 20958.4426    0  713          - 20958.4426      -     -    3s
     0     0 20966.1625    0  635          - 20966.1625      -     -    3s
     0     0 20966.1625    0  542          - 20966.1625      -     -    3s
     0     0 20966.2048    0  698          - 20966.2048      -     -    4s
     0     0 20966.2895    0  736          - 20966.2895      -     -    4s
     0     0 20966.3054    0  637          - 20966.3054      -     -    4s
     0     0 20966.3054    0  685          - 20966.3054      -     -    4s
     0     0 20966.3054    0  261          - 20966.3054      -     -    4s
     3     4 21057.0000    2   26          - 21057.0000      -  4338    6s
 427564 187666     cutoff   65      23415.0000 21850.0000  6.68%  76.9  915s
 430207 189909 22268.4060   52  365 23415.0000 21850.0000  6.68%  77.0  921s
 432326 192010 23280.8977   73  237 23415.0000 21850.0000  6.68%  77.1  929s
 435006 192448 21990.0798   43  409 23415.0000 21850.0000  6.68%  77.3  932s
 435662 192890 22068.7659   50  460 23415.0000 21850.0000  6.68%  77.3  935s
 438382 194540 infeasible   53      23415.0000 21850.0000  6.68%  77.4  941s
 440217 195794 22998.6003   55  425 23415.0000 21850.0000  6.68%  77.5  947s
 440971 196949 22132.9643   67  439 23415.0000 21850.0000  6.68%  77.6  950s
 443653 198693     cutoff   82      23415.0000 21850.0000  6.68%  77.7  955s
 446192 199699 23127.6000   64  151 23415.0000 21850.0000  6.68%  77.8  961s
 447100 200686 22358.2236   48  402 23415.0000 21850.0000  6.68%  77.9  965s
 449039 202259 22886.9400   78  184 23415.0000 21850.0000  6.68%  78.0  974s
 451103 203150 22154.9219   53  244 23415.0000 21850.0000  6.68%  78.2  978s
 452505 204361 22275.9663   48  374 23415.0000 21850.0000  6.68%  78.4  982s
 454334 204942 22306.7782   66  239 23415.0000 21850.0000  6.68%  78.4  986s
 455274 205556 22579.1921   79  242 23415.0000 21850.0000  6.68%  78.5  990s
 458438 207548 21942.5833   44  509 23415.0000 21850.0000  6.68%  78.7  997s
 459383 208358 21956.9394   46  419 23415.0000 21850.0000  6.68%  78.8 1001s
 461487 209496 22054.4287   44  377 23415.0000 21850.0000  6.68%  79.0 1009s
 462723 211122 22232.1861   61  203 23415.0000 21850.0000  6.68%  79.1 1014s
 465167 211688 22026.5311   46  433 23415.0000 21850.0000  6.68%  79.2 1018s
 466060 212338 infeasible   55      23415.0000 21850.0000  6.68%  79.3 1022s
 467024 213471 infeasible   83      23415.0000 21850.0000  6.68%  79.4 1026s
 469819 215286 22649.0070   61  178 23415.0000 21850.0000  6.68%  79.5 1033s
 471704 215889 22091.1128   48  496 23415.0000 21850.0000  6.68%  79.6 1037s
 472600 217037 22131.8830   57  572 23415.0000 21850.0000  6.68%  79.6 1040s
 475373 217958 22300.4779   48  365 23415.0000 21850.0000  6.68%  79.7 1047s
 476140 219921 21911.3753   46  456 23415.0000 21850.0000  6.68%  79.8 1051s
 479615 220687 22295.4246   65  315 23415.0000 21850.0000  6.68%  79.9 1057s
 480410 221110 22437.6552   71  300 23415.0000 21850.0000  6.68%  79.9 1060s
 482582 222468 22439.5306   41  359 23415.0000 21850.0000  6.68%  80.0 1065s
 484040 223991 infeasible   49      23415.0000 21850.0000  6.68%  80.1 1072s
 485623 224433 22523.2497   57  332 23415.0000 21850.0000  6.68%  80.2 1075s
 487980 225923 21925.3682   45  465 23415.0000 21850.0000  6.68%  80.3 1081s
 489750 226930 22334.7773   56  331 23415.0000 21850.0000  6.68%  80.5 1086s
 491041 228656 22052.9924   42  523 23415.0000 21850.0000  6.68%  80.6 1093s
 493173 229015 22047.0059   48  480 23415.0000 21850.0000  6.68%  80.7 1096s
 494308 230263 23148.0690   64  290 23415.0000 21850.0000  6.68%  80.8 1101s
 496204 230996 22173.0605   49  533 23415.0000 21850.0000  6.68%  80.9 1107s
 497991 232039 22513.6545   46  444 23415.0000 21850.0000  6.68%  81.0 1112s
 499276 232969 22031.9382   48  408 23415.0000 21850.0000  6.68%  81.2 1117s
 501506 234075     cutoff   67      23415.0000 21850.7927  6.68%  81.2 1121s
 502556 235339 23055.6002   67  250 23415.0000 21852.0633  6.67%  81.3 1126s
 504515 235922 22067.1451   54  483 23415.0000 21853.8163  6.67%  81.3 1131s
 506591 237260 22694.9558   59  394 23415.0000 21855.0971  6.66%  81.4 1136s
 507793 238196 21926.5773   50  446 23415.0000 21856.1909  6.66%  81.5 1140s
